Z,10,lru,0.00990
8
D,10,lru,0.009905

U,10,lru,0.009956

Z,10,lfu,0.00918306

D,10,lfu,0.0110

U,10,lfu,0.011

Z,10,random,0.02906

D,10,random,0.0106

U,10,random,0.09906

Z,10,fifo,0.019906

D,10,fifo,0.01906

U,10,fifo,0.011906

Z,50,lru,0.57927

D,50,lru,0.039852

U,50,lfu,0.04902

Z,50,lfu,0.561671

D,50,lfu,0.035758

U,50,random,0.049417

Z,50,random,0.401543

D,50,random,0.293262

U,50,fifo,9.65E-4

Z,50,fifo,0.02887

D,50,fifo,1.31E-4

U,100,lru,0.093299

Z,100,lru,0.669071

D,100,lru,0.053938

U,100,lfu,0.095173

Z,100,lfu,0.652608

D,100,lfu,0.055785

U,100,random,0.098693

Z,100,random,0.514993

D,100,random,0.357452

U,100,fifo,9.63E-4

Z,100,fifo,0.029298

D,100,fifo,1.1E-4

U,150,lru,0.137121

Z,150,lru,0.71585

D,150,lru,0.04719

U,150,lfu,0.137314

Z,150,lfu,0.695448

D,150,lfu,0.053018

U,150,random,0.148011

Z,150,random,0.587008

D,150,random,0.399633

U,150,fifo,0.001038

Z,150,fifo,0.028877

D,150,fifo,9.9E-5

